SOC_CODE,Capital Region Employment,Capital Region Probability,Central New York Region Employment,Central New York Region Probability,Finger Lakes Region Employment,Finger Lakes Region Probability,Hudson Valley Region Employment,Hudson Valley Region Probability,Long Island Region Employment,Long Island Region Probability,Mohawk Valley Region Employment,Mohawk Valley Region Probability,New York City Region Employment,New York City Region Probability,New York State Employment,New York State Probability,North Country Region Employment,North Country Region Probability,Southern Tier Region Employment,Southern Tier Region,Western New York Region Employment,Western New York Region Probability
29-1123,1020,0,690,0,1070,0,1840,0,3380,0,340,0,6000,0,16390,0,390,0,350,0,1180,0
29-1124,160,0,,,140,0,0,0,180,0,0,0,720,0,1540,0,0,0,0,0,190,0
29-1125,60,0,0,0,130,0,250,0,310,0,70,0,580,0,1640,0,30,0,80,0,80,0
29-1126,360,0,240,0,410,0,610,0,900,0,150,0,2320,0,5840,0,100,0,160,0,540,0
29-1127,770,0,360,0,770,0,1450,0,2000,0,230,0,4000,0,11360,0,210,0,260,0,1270,0
29-1131,240,0,160,0,250,0,580,0,720,0,0,0,620,0,3040,0,60,0,140,0,210,0
29-1181,0,0,0,0,120,0,0,0,0,0,0,0,0,0,920,0,0,0,0,0,100,0
29-1199,50,0,90,0,,,110,0,280,0,,,1220,0,2110,0,0,0,0,0,50,0
29-2011,690,1,440,1,920,1,840,1,1700,1,220,1,4660,1,10380,1,180,1,260,1,420,1
29-2012,510,0,0,0,950,0,570,0,980,0,140,0,3270,0,7740,0,120,0,260,0,400,0
29-2021,690,1,650,1,1050,1,1150,1,2170,1,220,1,2820,1,10750,1,290,1,480,1,1230,1
29-2031,260,0,120,0,110,0,310,0,660,0,70,0,1220,0,3110,0,70,0,50,0,230,0
29-2032,280,0,210,0,390,0,570,0,840,0,160,0,1780,0,4730,0,70,0,150,0,270,0
29-2033,60,0,50,0,70,0,0,0,240,0,50,0,520,0,1260,0,40,0,0,0,110,0
29-2041,1330,0,680,0,1160,0,1830,0,2920,0,510,0,4620,0,14750,0,260,0,650,0,780,0
29-2051,0,0,0,0,110,0,100,0,110,0,0,0,320,0,930,0,30,0,0,0,70,0
29-2052,1270,1,620,1,1250,1,1600,1,2660,1,520,1,7050,1,17660,1,360,1,460,1,1800,1
29-2053,0,0,,,170,0,370,0,0,0,,,750,0,1540,0,,,,,50,0
29-2054,,,,,0,0,0,0,0,0,,,0,0,280,0,,,,,0,0
29-2055,310,0,200,0,350,0,430,0,700,0,130,0,2740,0,5560,0,70,0,160,0,460,0
29-2056,340,0,200,0,280,0,560,0,720,0,60,0,1370,0,4270,0,100,0,340,0,310,0
29-2061,3700,0,2940,0,3970,0,6010,0,5560,0,2090,0,14070,0,46990,0,1630,0,1800,0,5140,0
29-2071,650,1,480,1,500,1,870,1,1360,1,310,1,3270,1,8800,1,210,1,260,1,870,1
29-2081,150,1,170,1,250,1,730,1,620,1,100,1,800,1,3450,1,80,1,100,1,450,1
29-2091,0,0,,,,,0,0,120,0,0,0,0,0,440,0,,,,,,
29-9011,450,0,230,0,310,0,250,0,420,0,80,0,940,0,3230,0,80,0,110,0,270,0
29-9012,0,0,50,0,0,0,,,0,0,0,0,520,0,730,0,,,,,0,0
29-9091,0,0,110,0,110,0,250,0,160,0,50,0,0,0,1240,0,40,0,0,0,150,0
31-1011,4590,0,2170,0,4500,0,11620,0,12030,0,2140,0,128970,0,173830,0,1240,0,1210,0,5070,0
31-1013,260,0,0,0,150,0,1140,0,770,0,390,0,1860,0,5900,0,530,0,390,0,250,0
31-2011,100,0,0,0,140,0,450,0,260,0,70,0,790,0,2300,0,40,0,70,0,270,0
31-2012,0,0,0,0,,,0,0,0,0,,,0,0,400,0,0,0,0,0,50,0
31-2021,290,0,210,0,330,0,530,0,810,0,180,0,1110,0,4200,0,120,0,110,0,380,0
31-2022,70,1,90,1,110,1,460,1,930,1,0,1,940,1,2940,1,0,1,60,1,180,1
31-9011,290,1,90,1,,,470,1,1290,1,110,1,1120,1,4180,1,30,1,100,1,0,1
31-9091,1030,1,800,1,1100,1,2270,1,3830,1,280,1,8800,1,20040,1,330,1,450,1,1120,1
31-9092,1090,0,710,0,990,0,2530,0,4130,0,330,0,11490,0,23860,0,250,0,430,0,1910,0
31-9093,210,1,80,1,140,1,240,1,560,1,100,1,1030,1,2720,1,60,1,100,1,190,1
31-9094,130,1,180,1,210,1,140,1,490,1,100,1,520,1,2190,1,60,1,50,1,300,1
31-9095,60,1,100,1,,,170,1,710,1,0,1,1050,1,2480,1,130,1,0,1,140,1
31-9096,290,1,300,1,300,1,0,1,920,1,,,400,1,3690,1,60,1,260,1,480,1
33-1011,350,0,150,0,390,0,750,0,,,210,0,1100,0,3940,0,390,0,140,0,210,0
